#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile,Seat_Registered,Seat_Polled,Female_Voters,Male_Voters,Youth_Voters,Senior_Voters,youth_pct,services_pct,agri_pct,homemaker_pct,elderly_pct,Cultivators_Pct,AgriLabour_Pct,HouseholdIndustry_Pct,OtherWorkers_Pct,Literacy_Pct,Urban_Pct,Seat_Type,SC_Boost,Turnout_Surge_Type,TVK_Zone,Anti_Incumbency_Score,Incumbency_Factor,Voter_Profile_Extended,Winner_2021_Party,SC_ST_Pop_Pct,Margin_2021_Category,Incumbent_Recontesting,SC_Voter_Boost,Constituency_Registered_Voters
56,Thalli,-,237924,6.05%,Krishnagiri,Krishnagiri,1977.0,,Krishnagiri,Krishnagiri,Industrial,1586130,5.21,71.9,83.59,11.689999999999998,6,"Assembly Constituency: Thalli (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",237924,198880,112917,108056,46846,81318,0.173,0.238,0.294,0.23,0.065,20.1,31.4,2.8,45.7,68.4,27.3,MARGINAL,0,ANTI_INCUMBENCY,MEDIUM,-9,HIGH_ANTI_INCUMBENCY,"Assembly Constituency: Thalli (Krishnagiri). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: MARGINAL (2021: AIADMK won). Incumbency: HIGH_ANTI_INCUMBENCY. Turnout surge: ANTI_INCUMBENCY. TVK relevance: MEDIUM. SC/ST population: 22% (TN avg 20%). Victory margin 2021: CLOSE. 2021 MLA re-contesting: UNCERTAIN.",AIADMK,22.4,CLOSE,UNCERTAIN,1.6,237924
57,Palacode,-,240322,0.04%,Dharmapuri,Dharamapuri,1967.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Palacode (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",240322,209753,114954,110005,47691,82785,0.172,0.205,0.33,0.228,0.065,22.8,35.2,2.4,39.6,66.1,22.4,COMPETITIVE,0,ANTI_INCUMBENCY,LOW,-8,HIGH_ANTI_INCUMBENCY,"Assembly Constituency: Palacode (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: AIADMK won). Incumbency: HIGH_ANTI_INCUMBENCY. Turnout surge: ANTI_INCUMBENCY. TVK relevance: LOW. SC/ST population: 25% (TN avg 20%). Victory margin 2021: CLOSE. 2021 MLA re-contesting: UNCERTAIN.",AIADMK,24.6,CLOSE,UNCERTAIN,2.15,240322
58,Pennagaram,-,248614,0.19%,Dharmapuri,Dharamapuri,1952.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Pennagaram (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",248614,216990,114954,110005,47691,82785,0.172,0.205,0.33,0.228,0.065,22.8,35.2,2.4,39.6,66.1,22.4,COMPETITIVE,0,ANTI_INCUMBENCY,LOW,-8,HIGH_ANTI_INCUMBENCY,"Assembly Constituency: Pennagaram (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: AIADMK won). Incumbency: HIGH_ANTI_INCUMBENCY. Turnout surge: ANTI_INCUMBENCY. TVK relevance: LOW. SC/ST population: 25% (TN avg 20%). Victory margin 2021: CLOSE. 2021 MLA re-contesting: UNCERTAIN.",AIADMK,24.6,CLOSE,UNCERTAIN,2.15,248614
59,Dharmapuri,-,260751,4.30%,Dharmapuri,Dharamapuri,1952.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Dharmapuri (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",260751,227583,114954,110005,47691,82785,0.172,0.205,0.33,0.228,0.065,22.8,35.2,2.4,39.6,66.1,22.4,COMPETITIVE,0,ANTI_INCUMBENCY,LOW,-8,HIGH_ANTI_INCUMBENCY,"Assembly Constituency: Dharmapuri (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: AIADMK won). Incumbency: HIGH_ANTI_INCUMBENCY. Turnout surge: ANTI_INCUMBENCY. TVK relevance: LOW. SC/ST population: 25% (TN avg 20%). Victory margin 2021: CLOSE. 2021 MLA re-contesting: UNCERTAIN.",AIADMK,24.6,CLOSE,UNCERTAIN,2.15,260751
60,Pappireddippatti,-,256640,4.08%,Dharmapuri,Dharamapuri,2011.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Pappireddippatti (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",256640,223995,114954,110005,47691,82785,0.172,0.205,0.33,0.228,0.065,22.8,35.2,2.4,39.6,66.1,22.4,COMPETITIVE,0,ANTI_INCUMBENCY,LOW,-8,HIGH_ANTI_INCUMBENCY,"Assembly Constituency: Pappireddippatti (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: AIADMK won). Incumbency: HIGH_ANTI_INCUMBENCY. Turnout surge: ANTI_INCUMBENCY. TVK relevance: LOW. SC/ST population: 25% (TN avg 20%). Victory margin 2021: CLOSE. 2021 MLA re-contesting: UNCERTAIN.",AIADMK,24.6,CLOSE,UNCERTAIN,2.15,256640
61,Harur,SC,245692,2.55%,Dharmapuri,Dharamapuri,1952.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Harur (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",245692,214439,114954,110005,47691,82785,0.172,0.205,0.33,0.228,0.065,22.8,35.2,2.4,39.6,66.1,22.4,COMPETITIVE,1,ANTI_INCUMBENCY,LOW,-4,ANTI_INCUMBENCY,"Assembly Constituency: Harur (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: AIADMK won). Incumbency: ANTI_INCUMBENCY. Turnout surge: ANTI_INCUMBENCY. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 25% (TN avg 20%). Victory margin 2021: CLOSE. 2021 MLA re-contesting: UNCERTAIN.",AIADMK,24.6,CLOSE,UNCERTAIN,2.15,245692
62,Chengam,SC,268997,3.03%,Tiruvannamalai,Tiruvannamalai,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Chengam (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",268997,232440,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Chengam (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,268997
63,Tiruvannamalai,-,249848,13.64%,Tiruvannamalai,Tiruvannamalai,1957.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Tiruvannamalai (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",249848,215893,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Tiruvannamalai (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,249848
64,Kilpennathur,-,240823,5.61%,Tiruvannamalai,Tiruvannamalai,2011.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Kilpennathur (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",240823,208095,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Kilpennathur (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,240823
65,Kalasapakkam,-,232847,4.96%,Tiruvannamalai,Tiruvannamalai,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Kalasapakkam (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",232847,201203,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Kalasapakkam (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,232847
66,Polur,-,233774,4.68%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Polur (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",233774,202004,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Polur (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,233774
67,Arani,-,254963,8.36%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Arani (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",254963,220313,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Arani (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,254963
68,Cheyyar,-,239856,8.31%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Cheyyar (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. ",239856,207259,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Cheyyar (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,239856
69,Vandavasi,SC,213474,11.94%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Vandavasi (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. ",213474,184462,114902,109956,47670,82748,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Vandavasi (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance. SC/ST population: 19% (TN avg 20%). Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,19.2,COMFORTABLE,LIKELY_YES,0.8,213474
70,Gingee,-,242667,7.60%,Viluppuram,Arani,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Gingee (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",242667,205902,125365,119967,52010,90282,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Gingee (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.0,COMFORTABLE,LIKELY_YES,0.0,242667
71,Mailam,-,209016,5.71%,Viluppuram,Arani,2011.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Mailam (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",209016,177350,125365,119967,52010,90282,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Mailam (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.0,COMFORTABLE,LIKELY_YES,0.0,209016
72,Tindivanam,-,219256,5.60%,Viluppuram,Viluppuram,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Tindivanam (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. ",219256,186038,125365,119967,52010,90282,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Tindivanam (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.0,COMFORTABLE,LIKELY_YES,0.0,219256
73,Vanur,SC,209824,8.19%,Viluppuram,Viluppuram,1962.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Vanur (Viluppuram). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). ",209824,178035,125365,119967,52010,90282,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,1,BASE_MOBILISATION,LOW,4,SAFE_INCUMBENT,"Assembly Constituency: Vanur (Viluppuram). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK).  Seat type: COMPETITIVE (2021: DMK won). Incumbency: SAFE_INCUMBENT. Turnout surge: BASE_MOBILISATION. TVK relevance: LOW. SC/ST reserved seat with VCK-SPA bloc dominance.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.0,COMFORTABLE,LIKELY_YES,0.0,209824
74,Villupuram,-,245899,6.86%,Viluppuram,Viluppuram,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Villupuram (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. ",245899,208645,125365,119967,52010,90282,0.186,0.305,0.259,0.18,0.07,12.9,29.2,4.2,53.7,74.0,48.0,COMPETITIVE,0,BASE_MOBILISATION,MEDIUM,0,COMPETITIVE,"Assembly Constituency: Villupuram (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers.  Seat type: COMPETITIVE (2021: DMK won). Incumbency: COMPETITIVE. Turnout surge: BASE_MOBILISATION. TVK relevance: MEDIUM.  Victory margin 2021: COMFORTABLE. 2021 MLA re-contesting: LIKELY_YES.",DMK,16.0,COMFORTABLE,LIKELY_YES,0.0,245899
