#,Constituency,Reserved,Electors As per Feb 2026 SIR[4],Change Prev. Election,District_x,Lok Sabha constituency,Constituency since,Constituency Map,District_Clean,District_y,Culture,Registered_Voters,GDP_Lakhs,Turnout_2021,Turnout_2026,Turnout_Delta,Assembly_Seats,Voter_Profile
58,Pennagaram,-,248614,0.19%,Dharmapuri,Dharamapuri,1952.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Pennagaram (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
59,Dharmapuri,-,260751,4.30%,Dharmapuri,Dharamapuri,1952.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Dharmapuri (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
60,Pappireddippatti,-,256640,4.08%,Dharmapuri,Dharamapuri,2011.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Pappireddippatti (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
61,Harur,SC,245692,2.55%,Dharmapuri,Dharamapuri,1952.0,,Dharmapuri,Dharmapuri,Agrarian,1288731,2.98,72.97,87.28,14.310000000000002,5,"Assembly Constituency: Harur (Dharmapuri). Region Culture: Agrarian. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
62,Chengam,SC,268997,3.03%,Tiruvannamalai,Tiruvannamalai,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Chengam (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
63,Tiruvannamalai,-,249848,13.64%,Tiruvannamalai,Tiruvannamalai,1957.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Tiruvannamalai (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
64,Kilpennathur,-,240823,5.61%,Tiruvannamalai,Tiruvannamalai,2011.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Kilpennathur (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. "
65,Kalasapakkam,-,232847,4.96%,Tiruvannamalai,Tiruvannamalai,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Kalasapakkam (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
66,Polur,-,233774,4.68%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Polur (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
67,Arani,-,254963,8.36%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Arani (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
68,Cheyyar,-,239856,8.31%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Cheyyar (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. "
69,Vandavasi,SC,213474,11.94%,Tiruvannamalai,Arani,1952.0,,Tiruvannamalai,Tiruvannamalai,Mixed,2081796,2.69,75.31,86.41,11.099999999999994,8,"Assembly Constituency: Vandavasi (Tiruvannamalai). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
70,Gingee,-,242667,7.60%,Viluppuram,Arani,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Gingee (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
71,Mailam,-,209016,5.71%,Viluppuram,Arani,2011.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Mailam (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
72,Tindivanam,-,219256,5.60%,Viluppuram,Viluppuram,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Tindivanam (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
73,Vanur,SC,209824,8.19%,Viluppuram,Viluppuram,1962.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Vanur (Viluppuram). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
74,Villupuram,-,245899,6.86%,Viluppuram,Viluppuram,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Villupuram (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
75,Vikravandi,-,228995,3.10%,Viluppuram,Viluppuram,1952.0,,Viluppuram,Viluppuram,Mixed,1734830,2.82,72.27,84.85,12.579999999999998,6,"Assembly Constituency: Vikravandi (Viluppuram). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
76,Tirukkoyilur,-,243105,5.23%,Kallakurichi,Viluppuram,1952.0,,Kallakurichi,Kallakurichi,Mixed,1288731,2.81,74.56,87.41,12.849999999999994,5,"Assembly Constituency: Tirukkoyilur (Kallakurichi). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
77,Ulundurpettai,-,300699,1.40%,Kallakurichi,Viluppuram,1952.0,,Kallakurichi,Kallakurichi,Mixed,1288731,2.81,74.56,87.41,12.849999999999994,5,"Assembly Constituency: Ulundurpettai (Kallakurichi). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
78,Rishivandiyam,-,273571,0.86%,Kallakurichi,Kallakurichi,1962.0,,Kallakurichi,Kallakurichi,Mixed,1288731,2.81,74.56,87.41,12.849999999999994,5,"Assembly Constituency: Rishivandiyam (Kallakurichi). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
79,Sankarapuram,-,265951,2.01%,Kallakurichi,Kallakurichi,1962.0,,Kallakurichi,Kallakurichi,Mixed,1288731,2.81,74.56,87.41,12.849999999999994,5,"Assembly Constituency: Sankarapuram (Kallakurichi). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
80,Kallakurichi,SC,281582,2.74%,Kallakurichi,Kallakurichi,1952.0,,Kallakurichi,Kallakurichi,Mixed,1288731,2.81,74.56,87.41,12.849999999999994,5,"Assembly Constituency: Kallakurichi (Kallakurichi). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
81,Gangavalli,SC,218317,9.28%,Salem,Kallakurichi,2011.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Gangavalli (Salem). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
82,Attur,SC,228153,11.08%,Salem,Kallakurichi,1952.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Attur (Salem). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
83,Yercaud,ST,272829,4.75%,Salem,Kallakurichi,1957.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Yercaud (Salem). Region Culture: Industrial. This is a reserved constituency (ST). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
84,Omalur,-,294593,1.36%,Salem,Salem,1952.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Omalur (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
85,Mettur,-,255665,11.57%,Salem,Dharamapuri,1957.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Mettur (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
86,Edappadi,-,276387,3.91%,Salem,Salem,1952.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Edappadi (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
87,Sankari,-,260525,5.67%,Salem,Namakkal,1957.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Sankari (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
88,Salem (West),-,257950,14.78%,Salem,Salem,2011.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Salem (West) (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
89,Salem (North),-,238637,14.47%,Salem,Salem,2011.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Salem (North) (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
90,Salem (South),-,226851,13.93%,Salem,Salem,2011.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Salem (South) (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
91,Veerapandi,-,250449,4.46%,Salem,Salem,1957.0,,Salem,Salem,Industrial,2924428,5.21,72.72,88.0,15.28,11,"Assembly Constituency: Veerapandi (Salem). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
92,Rasipuram,SC,222252,6.75%,Namakkal,Namakkal,1952.0,,Namakkal,Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5,"Assembly Constituency: Rasipuram (Namakkal). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
93,Senthamangalam,ST,229398,6.63%,Namakkal,Namakkal,1957.0,,Namakkal,Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5,"Assembly Constituency: Senthamangalam (Namakkal). Region Culture: Industrial. This is a reserved constituency (ST). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
94,Namakkal,-,237836,8.70%,Namakkal,Namakkal,1952.0,,Namakkal,Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5,"Assembly Constituency: Namakkal (Namakkal). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
95,Paramathi Velur,-,205147,8.14%,Namakkal,Namakkal,2011.0,,Namakkal,Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5,"Assembly Constituency: Paramathi Velur (Namakkal). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
96,Tiruchengodu,-,209072,10.46%,Namakkal,Namakkal,1952.0,,Namakkal,Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5,"Assembly Constituency: Tiruchengodu (Namakkal). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. "
97,Kumarapalayam,-,220048,14.63%,Namakkal,Erode,2011.0,,Namakkal,Namakkal,Industrial,1437431,4.27,71.66,87.63,15.97,5,"Assembly Constituency: Kumarapalayam (Namakkal). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Primarily focused on local candidate reputation rather than national or state party ideology. Traditional party loyalty remains strong, with youth following familial voting patterns. "
98,Erode (East),-,179566,22.56%,Erode,Erode,2011.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Erode (East) (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
99,Erode (West),-,250177,16.23%,Erode,Erode,2011.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Erode (West) (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
100,Modakkurichi,-,207664,13.72%,Erode,Erode,1952.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Modakkurichi (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
101,Dharapuram,SC,222406,14.62%,Tiruppur,Erode,1952.0,,Tiruppur,Tiruppur,Industrial,2280063,4.07,72.72,84.69,11.97,8,"Assembly Constituency: Dharapuram (Tiruppur). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
102,Kangayam,-,219553,15.74%,Tiruppur,Erode,1952.0,,Tiruppur,Tiruppur,Industrial,2280063,4.07,72.72,84.69,11.97,8,"Assembly Constituency: Kangayam (Tiruppur). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. "
103,Perundurai,-,214431,6.93%,Erode,Tiruppur,1957.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Perundurai (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Primarily focused on local candidate reputation rather than national or state party ideology. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
104,Bhavani,-,223172,7.24%,Erode,Tiruppur,1952.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Bhavani (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
105,Anthiyur,-,207355,6.29%,Erode,Tiruppur,1962.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Anthiyur (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
106,Gobichettipalayam,-,239179,7.33%,Erode,Tiruppur,1957.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Gobichettipalayam (Erode). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. Traditional party loyalty remains strong, with youth following familial voting patterns. "
107,Bhavanisagar,SC,237613,9.48%,Erode,Nilgiris,1967.0,,Erode,Erode,Industrial,1883530,5.35,74.59,88.35,13.759999999999993,7,"Assembly Constituency: Bhavanisagar (Erode). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
108,Udhagamandalam,-,188826,8.96%,Nilgiris,Nilgiris,1957.0,,The Nilgiris,The Nilgiris,Mixed,594799,2.18,70.82,80.23,9.41000000000001,2,"Assembly Constituency: Udhagamandalam (Nilgiris). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
109,Gudalur,SC,185398,2.82%,Nilgiris,Nilgiris,1967.0,,The Nilgiris,The Nilgiris,Mixed,594799,2.18,70.82,80.23,9.41000000000001,2,"Assembly Constituency: Gudalur (Nilgiris). Region Culture: Mixed. This is a reserved constituency (SC). Mixed demographics (agriculture, small business, semi-urban). Voters here balance appreciation for welfare schemes with demands for better local job creation. Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
110,Coonoor,-,177782,8.39%,Nilgiris,Nilgiris,1957.0,,The Nilgiris,The Nilgiris,Mixed,594799,2.18,70.82,80.23,9.41000000000001,2,"Assembly Constituency: Coonoor (Nilgiris). Region Culture: Mixed. This is a reserved constituency (-). Mixed demographics (agriculture, small business, semi-urban). Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. A heavily contested youth vote, split between traditional Dravidian majors and new challengers. "
111,Mettupalayam,-,282179,5.87%,Coimbatore,Nilgiris,1952.0,,Coimbatore,Coimbatore,Industrial,3023561,4.49,73.09,86.01,12.920000000000002,11,"Assembly Constituency: Mettupalayam (Coimbatore). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Strong sentiment towards state autonomy and anti-language imposition ideologies. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
112,Avanashi,SC,253361,10.77%,Tiruppur,Nilgiris,1957.0,,Tiruppur,Tiruppur,Industrial,2280063,4.07,72.72,84.69,11.97,8,"Assembly Constituency: Avanashi (Tiruppur). Region Culture: Industrial. This is a reserved constituency (SC). Working-class and manufacturing sector dominant. Strong trade union presence. Voters here balance appreciation for welfare schemes with demands for better local job creation. Primarily focused on local candidate reputation rather than national or state party ideology. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
113,Tiruppur (North),-,315837,18.20%,Tiruppur,Tiruppur,2011.0,,Tiruppur,Tiruppur,Industrial,2280063,4.07,72.72,84.69,11.97,8,"Assembly Constituency: Tiruppur (North) (Tiruppur). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Strongly influenced by state welfare schemes (like Magalir Urimai Thogai and free bus travel for women). Growing presence of national political narratives blending with local issues. First-time voters and youth show significant traction towards alternative/new political disruptors (TVK, NTK). "
114,Tiruppur (South),-,197091,29.97%,Tiruppur,Tiruppur,2011.0,,Tiruppur,Tiruppur,Industrial,2280063,4.07,72.72,84.69,11.97,8,"Assembly Constituency: Tiruppur (South) (Tiruppur). Region Culture: Industrial. This is a reserved constituency (-). Working-class and manufacturing sector dominant. Strong trade union presence. Concerns over local infrastructure, inflation, and anti-incumbency are prevalent among the middle class. Strong sentiment towards state autonomy and anti-language imposition ideologies. Traditional party loyalty remains strong, with youth following familial voting patterns. "
